old_naics,implan_code,source_year
211111,20,2012
212113,21,2017
315110,117,2007-2017
315111,117,2007-2017
315119,117,2007-2017
315190,117,2007-2017
315191,117,2007-2017
315192,117,2007-2017
315220,119,2007-2017
315221,119,2007-2017
315222,119,2007-2017
315223,119,2007-2017
315224,119,2007-2017
315225,119,2007-2017
315228,119,2007-2017
315231,119,2007-2017
315232,119,2007-2017
315233,119,2007-2017
315234,119,2007-2017
315239,119,2007-2017
315240,119,2007-2017
315280,119,2007-2017
315291,119,2007-2017
315292,119,2007-2017
315299,119,2007-2017
316991,123,2007-2017
316993,123,2007-2017
316998,123,2007-2017
316999,123,2007-2017
333220,260,2007-2017
333244,260,2007-2017
333249,260,2002-2007-2017
333249,260,2007-2017
333292,260,2007-2017
333293,260,2007-2017
333298,260,2002-2007-2017
333298,260,2007-2017
333311,261,2007-2017
333312,261,2007-2017
333313,261,2007-2017
333315,261,2007-2017
333316,261,2007-2017
333318,261,2007-2017
333319,261,2007-2017
333997,286,2002-2017
333999,286,2002-2017
334611,309,2007-2017
334612,309,2007-2017
334614,309,2007-2017
441221,385,2007-2017
441228,385,2007-2017
441229,385,2007-2017
443111,387,2007-2017
443112,387,2007-2017
443120,387,2007-2017
443130,387,2007-2017
443141,387,2007-2017
443142,387,2007-2017
451220,387,2007-2017
454310,391,2007-2017
454311,391,2007-2017
454312,391,2007-2017
454319,391,2007-2017
452111,394,2012-2017
452112,394,2012-2017
452210,394,2012-2017
452210,394,2012-2017
452311,394,2012-2017
452311,394,2012-2017
452319,394,2012-2017
452910,394,2012-2017
452990,394,2012-2017
517110,415,2002-2012-2017
517110,415,2012-2017
517311,415,2002-2012-2017
517311,415,2012-2017
517510,415,2002-2012-2017
518111,415,2002-2012-2017
517910,417,2002-2017
517919,417,2002-2017
